,Cd,name,num_Movie,filmos
149,20317813,김건,9,"['조선명탐정: 흡혈괴마의 비밀', '골든슬럼버', '바람 바람 바람', '챔피언', '해피 투게더', '내안의 그놈', '악인전', '기생충', '히트맨']"
150,20318099,최유진,2,"['조선명탐정: 흡혈괴마의 비밀', '기묘한 가족']"
151,20131375,김미란,1,['조선명탐정: 흡혈괴마의 비밀']
152,20163428,김영우,2,"['조선명탐정: 흡혈괴마의 비밀', '정직한 후보']"
153,20319144,김영진,1,['조선명탐정: 흡혈괴마의 비밀']
154,20328694,한성희,2,"['조선명탐정: 흡혈괴마의 비밀', '창궐']"
155,20232301,염동헌,4,"['조선명탐정: 흡혈괴마의 비밀', '배심원들', '액션히어로', '컴백홈']"
156,20327192,송훈,5,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '미스터 주: 사라진 VIP', '비상선언', '탄생']"
157,20335697,강덕중,18,"['조선명탐정: 흡혈괴마의 비밀', '염력', '공작', '너의 결혼식', '마약왕', '자전차왕 엄복동', '돈', '엑시트', '두번할까요', '시동', '죽지않는 인간들의 밤', '인질', '범죄도시2', '한산: 용의 출현', '공조2: 인터내셔날', '올빼미', '한산 리덕스', '탄생']"
158,20341038,조한준,8,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '사바하', '시동', '해치지않아', '미스터 주: 사라진 VIP', '미스터 주: 사라진 VIP', '#살아있다']"
159,20221830,윤상훈,1,['조선명탐정: 흡혈괴마의 비밀']
160,20365060,장유화,5,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '점박이 한반도의 공룡2 : 새로운 낙원', '두번할까요', '앵커']"
161,20133847,현우,1,['조선명탐정: 흡혈괴마의 비밀']
162,20354118,이우룡,2,"['염력', '봄날']"
163,10019065,류승룡,6,"['염력', '7년의 밤', '극한직업', '자산어보', '장르만 로맨스', '인생은 아름다워']"
164,10040874,심은경,3,"['염력', '궁합', '블루 아워']"
165,10004210,김민재,15,"['염력', '당신의 부탁', '성난황소', '돈', '악질경찰', '생일', '시동', '반도', '최선의 삶', '최선의 삶', '당신은 믿지 않겠지만', '뒤틀린 집', '한산: 용의 출현', '미혹', '한산 리덕스']"
166,10062071,정유미,3,"['염력', '82년생 김지영', '부산행:익스텐디드']"
167,20299151,이승용,3,"['염력', '82년생 김지영', '고속도로 가족']"
168,10049950,예수정,9,"['염력', '허스토리', '말모이', '82년생 김지영', '82년생 김지영', '침입자', '침입자', '부산행:익스텐디드', '새해전야']"
169,20313537,이기환,1,['염력']
170,20294036,이동근,1,['염력']
171,20314182,백성욱,1,['염력']
172,20314187,이재현,2,"['염력', '결백']"
173,20189363,이정은,11,"['염력', '미쓰백', '말모이', '미성년', '기생충', '미스터 주: 사라진 VIP', '내가 죽던 날', '자산어보', '말임씨를 부탁해', '안녕하세요', '오마주']"
174,20314264,김주연,6,"['염력', '물괴', '마약왕', '나쁜 녀석들: 더 무비', '이웃사촌', '앵커']"
175,20294653,이지훈,2,"['염력', '협상']"
176,20314800,이현정,3,"['염력', '변산', '마약왕']"
177,20315534,김흥태,6,"['염력', '성난황소', '뺑반', '천문: 하늘에 묻는다', '히트맨', '뜨거운 피']"
178,20316608,박재규,1,['염력']
179,20317439,조웅희,1,['염력']
180,10003728,김기천,10,"['염력', '기묘한 가족', '로망', '나의 특별한 형제', '해치지않아', '저 산 너머', '죽지않는 인간들의 밤', '돌멩이', '이웃사촌', '외계+인 1부']"
181,20142137,김기철,1,['염력']
182,20234326,김기범,3,"['염력', '인랑', '뺑반']"
183,20317897,김대근,13,"['염력', '독전', '신과함께-인과 연', '상류사회', '배반의 장미', '언니', '뺑반', '비스트', '퍼펙트맨', '블랙머니', '히트맨', '범죄도시2', '늑대사냥']"
184,10072476,최영우,3,"['염력', '배심원들', '배심원들']"
185,20318162,최지연,5,"['염력', '블랙머니', '새해전야', '보이스', '좋은 사람']"
186,20318460,황영수,5,"['염력', '천문: 하늘에 묻는다', '결백', '경관의 피', '리멤버']"
187,20329855,윤돈선,4,"['염력', '싱크홀', '니 부모 얼굴이 보고 싶다', '늑대사냥']"
188,20328733,태항호,4,"['염력', '결백', '이 안에 외계인이 있다', '파이프라인']"
189,20341415,김시우,3,"['염력', '돈', '천문: 하늘에 묻는다']"
190,20346998,엄지만,13,"['염력', '7년의 밤', '바람 바람 바람', '공작', '물괴', '출국', '마약왕', '블랙머니', '블랙머니', '남산의 부장들', '검객', '#아이엠히어', '경관의 피']"
191,20196235,이지혜,5,"['염력', '마약왕', '82년생 김지영', '세자매', '동감']"
192,10020817,린 샤예,2,"['인시디어스4: 라스트 키', '죽이는 여자']"
193,20112992,조시 스튜어트,1,['인시디어스4: 라스트 키']
194,10086912,하비에르 보텟,2,"['인시디어스4: 라스트 키', '그것: 두 번째 이야기']"
195,10077282,크리스 헴스워스,5,"['12 솔져스', '어벤져스: 인피니티 워', '어벤져스: 엔드게임', '맨 인 블랙: 인터내셔널', '토르: 러브 앤 썬더']"
196,10023167,마이클 섀넌,4,"['12 솔져스', '셰이프 오브 워터: 사랑의 모양', '커런트 워', '나이브스 아웃']"
197,10023591,마이클 페나,5,"['12 솔져스', '앤트맨과 와스프', '라스트 미션', '톰과 제리', '문폴']"
198,20259189,트레반트 로즈,3,"['12 솔져스', '더 프레데터', '빌리 홀리데이']"
199,10004461,김서영,10,"['마야2', '런닝맨 : 풀룰루의 역습', '극장판 공룡메카드: 타이니소어의 섬', '뽀로로 극장판 보물섬 대모험', '날씨의 아이', '핑크퐁 시네마 콘서트 : 우주대탐험', '극장판 윌벤져스 : 수상한 캠핑 대소동', '뽀로로 극장판 드래곤캐슬 대모험', '극장판 엄마 까투리: 도시로 간 까투리 가족', '극장판 뽀로로와 친구들: 바이러스를 없애줘!']"
200,20272192,김명준,8,"['마야2', '레오나르도 다 빈치', '꼬마영웅 바비', '레드슈즈', '소피와 드래곤: 마법책의 비밀', '신비아파트 극장판 하늘도깨비 대 요르문간드', '고고다이노 극장판: 얼음공룡의 비밀', '신비아파트 극장판 차원도깨비와 7개의 세계']"
