companyCd,companyNm,companyNmEn,companyPartNames,ceoNm,filmoNames
20104319,삼영필림,Samyoung Film,"제작사,배급사,수입사",강대진,"이연걸의 히트맨,벽혈남천 ,흑금,크리스마스엔 눈이 올까요?,상해탄 ,독신녀,추격자,도시의 사냥꾼,낙조,오룡대협,소림사 십대장문,우리들의 고교시대,배우 수업,슬픔은 저 별들에게도,옛날 옛적에 훠어이 훠이,금호문,나비소녀,여고얄개,신 당산대형,얄개행진곡,고교 꺼꾸리군 장다리군,유성검,문,목마와 숙녀,바보 용칠이,여고 졸업반,흑룡,폭력은 없다,망나니,5천리 대도망,나이도 어린데,빌리장,어린 시절,이름 모를 소녀,아리랑,안개속의 초혼,왜?,암살 지령,천마신검,사할린의 하늘과 땅,잡초,집행유예,대추격,빗방울,아들 딸 찾아 천리길,아빠라 부르는 여인,여고시절,남과 북의 당신,내 아내여,소녀의 첫사랑,속 두아들,갑순이,나에게 조건은 없다,원한의 거리에 눈이 내린다,쌍둥이 꼬마신랑,내일의 팔도강산,한국 제일의 사나이,검은 안경"
20100927,삼우미디어센터,Samwoo Media,제작사,김상범,내일로 흐르는 강
20100983,삼육필림,,"제작사,기타",,살어리랏다
20101019,삼일필림,,"제작사,기타",,"사랑과 눈물,격퇴"
20103001,삼진,,기타,,"블랙 데이 블루 나이트 ,겨울연가"
20100756,삼진필림,,"제작사,기타",,"바운티 헌터 ,암흑의 질주 ,일렉트라 ,린다 해밀턴의 이중생활 ,싸이보그 전사 ,디코이,매드니스 ,마담 캅스,라스트 맨,페이 백,오사카의 푸른 밤,트리플 플레이 ,졸업파티,레베카의 약점,연인들의 멜로디,성향기병 IV 사자후 ,용봉타적,황가여장,여경특공대,응징자,청옥불,강시선생 -일미도인,사저출마,강시훈련원,회장님 우리회장님,독불장군,키위새의 겨울,강시소자,차타레 부인 2,법외정,강시선생,차타레부인의 사랑"
20101576,삼홍기획,,기타,,
20100234,삼화에이브센터(주),,수입사,신현택,
20100743,삼환영화사,,"제작사,기타",,"아롱이의 대탐험,어른들은 청어를 굽는다"
20100124,삼흥기획,,"제작사,배급사",박종희,해피데이
20100862,상록영상(주),Sangrok Multimedia Lab,"제작사,배급사,수입사",정진홍,애플시드:엑스머시나
20100794,상명대학교(천안캠퍼스),Sangmyung University,제작사,,
20102724,상소,Sangsho,제작사,,
20103441,상하이 애니메이션 필름 스튜디오,Shanghai Animation Film Studio,제작사,,"풍월 ,엄마 찾는 올챙이"
20101054,새빛영화제작소,,제작사,,부활의 노래
20101228,새턴 픽쳐스 ,Saturn Pictures,기타,,
20101227,샌드캐스 5 프로덕션,Sandcastle 5 Productions,제작사,,
20102402,샐러드 필름,Salad Films Ltd.,제작사,,
20101222,샐터 스트리트 필름 인터내셔널,Salter Street Films International,제작사,,
20103003,샘터,,기타,,"벽속의 부인,지젤,마네킨 ,오버더톱 ,딱 한번만 만나요,듀엣포원"
20101245,샤디 아크리스 엔터테인먼트,Shady Acres Entertainment,"제작사,배급사",,
