"","peopleNm","max_audiAcc","mean_audiAcc"
"763","정세교",59570,59570
"764","정수이",6341,6341
"765","정승원",93037,93037
"766","정용주",7666,7666
"767","정욱",4252,4252
"768","정윤수",5252,5252
"769","정윤철",3108,3108
"770","정이삭",985582,985582
"771","정인봉",861,861
"772","정재익",6303,6303
"773","정지연",80572,80572
"774","정지영",7680,7680
"775","정지우",939256,939256
"776","정진영",62077,62077
"777","정허덕재",1131,1131
"778","정혁기",8594,8594
"779","정형민",684,684
"780","제니 게이지",9978,9978
"781","제니퍼 리",9558551,9558551
"782","제니퍼 웨스트콧",9597,9597
"783","제니퍼 켄트",9349,9349
"784","제라드 부시",94339,94339
"785","제레미 드그루손",9645,9645
"786","제이 로치",93462,93462
"787","제이슨 라이트맨",98412,63222.5
"788","제이슨 레이 하우덴",8919,8919
"789","제이알",5966,5966
"790","제이콥 체이스",8512,8512
"791","제이크 캐스단",980865,977104
"792","제임스 건",61918,61918
"793","제임스 그레이",502889,253377
"794","제임스 넌",6430,6430
"795","제임스 다시",5700,5700
"796","제임스 맨골드",990890,990890
"797","제임스 완",844307,427043
"798","제임스 카메론",7313149,3694473
"799","제임스 콕스",6957,6957
"800","제임스 쿨렌 브레삭",823,823
"801","제임스 파우웰",9382,9382
"802","제임스 폴리",90265,90265
"803","제제 다카히사",1868,1868
"804","제프 와드로",87329,87329
"805","제프 파울러",93947,87886.5
"806","제프리 나흐마노프",8734,8734
"807","젠디 타타코브스키",993603,993603
"808","조 라이트",9847,6374.5
"809","조 루소",9843480,6345521.66666667
"810","조 마지오",96597,96597
"811","조 존스톤",73240,73240
"812","조 카나한",5275,5275
"813","조 페나",11296,11296
"814","조경훈",99387,99387
"815","조규장",9300,9300
"816","조근현",47544,47544
"817","조나단 데이턴",6838,6838
"818","조나단 레빈",9284,9284
"819","조나단 베이커",5294,5294
"820","조나단 헨스라이",9609,9609
"821","조니 우",5673,5673
"822","조던 필",936427,516148
"823","조민호",989111,989111
"824","조바른",7623,7623
"825","조석현",88937,88937
"826","조셉 코신스키",8168984,4105882
"827","조쉬 베이커",5294,5294
"828","조쉬 분",61369,61369
"829","조쉬 트랭크",8191,8191
"830","조슬예",98293,98293
"831","조시 쿨리",719306,719306
"832","조안 스파",6144,6144
"833","조엘 크로포드",3592,3592
"834","조영광",9965,9965
"835","조용선",96896,96896
"836","조원희",443121,443121
"837","조은성",5322,5322
"838","조은지",98539,98539
"839","조이 주",7763,7763
"840","조일형",803868,803868
"841","조정래",77414,46236.5
"842","조지 클루니",5944,5944
"843","조진모",83539,83539
"844","조철현",958513,958513
"845","조하네스 로버츠",7564,7564
"846","존 R. 레오네티",9552,9552
"847","존 루카스",9092,9092
"848","존 매든",8159,8159
"849","존 쉬",6292,6292
"850","존 스티븐슨",76200,76200
"851","존 어윈",28932,14621
"852","존 왓츠",8006860,5186476.33333333
"853","존 추",77283,39001
"854","존 크래신스키",863204,460724
"855","존 터틀타웁",523539,523539
"856","존 파브로",848624,848624
"857","존 하이암스",959,959
"858","종위",3951,3951
"859","주남",1900,1900
"860","주동",8248,8248
"861","주진우",36895,36895
"862","줄리아 듀코나우",8026,8026
"863","줄리아 하트",8943,8943
"864","줄리앙 프루네",7376,7376
"865","증국상",9238,9238
"866","증헌림",7386,7386
"867","지안밍 후앙",9632,9632
"868","진보 마사토",6360,6360
"869","진옥훈",5588,5588
"870","진재운",11812,11812
"871","질스 파겟-브레너",2606,2606
