,movie,score,audience,score_edited,aud_edited,avg score,avg aud
748,['원더스트럭'],['7.22'],['2.6만명'],[7.22],[26000.0],7.22,26000.0
749,['콜 미 바이 유어 네임'],['9.14'],['22만명'],[9.14],[220000.0],9.14,220000.0
750,[],0,0,0,0,0.0,0.0
751,['극장판 5등분의 신부'],['8.19'],['6.2만명'],[8.19],[62000.0],8.19,62000.0
752,['맘마미아!2'],['9.08'],['229만명'],[9.08],[2290000.0],9.08,2290000.0
753,['베스트 엑조틱 메리골드 호텔'],['missing data'],['missing data'],0,0,0.0,0.0
754,['폴라로이드'],['6.38'],['1.2만명'],[6.38],[12000.0],6.38,12000.0
755,['생생활활'],['3.04'],['294명'],[3.04],[294.0],3.04,294.0
756,[],0,0,0,0,0.0,0.0
757,['쿵푸 팬더'],['8.78'],['398만명'],[8.78],[3980000.0],8.78,3980000.0
758,['위플래쉬'],['8.88'],['164만명'],[8.88],[1640000.0],8.88,1640000.0
759,['홈'],['8.32'],"['8,257명']",[8.32],[8257.0],8.32,8257.0
760,['설득'],['8.00'],['NETFLIX'],[8.0],0,8.0,0.0
761,['아이 씨 유'],['7.50'],['1.2만명'],[7.5],[12000.0],7.5,12000.0
762,['바니부기: 드래곤 에그를 찾아서'],['7.50'],['1.6만명'],[7.5],[16000.0],7.5,16000.0
763,['미드웨이'],['8.66'],['95만명'],[8.66],[950000.0],8.66,950000.0
764,['프라이트너'],['8.35'],['missing data'],[8.35],0,8.35,0.0
765,['테이킹 우드스탁'],['7.64'],['1.3만명'],[7.64],[13000.0],7.64,13000.0
766,['동네사람들'],['7.11'],['46만명'],[7.11],[460000.0],7.11,460000.0
767,['missing data'],['missing data'],['missing data'],0,0,0.0,0.0
768,"['부릉! 부릉! 브루미즈: 스피더의 모험 일기', '헬로 카봇']","['7.39', '8.29']","['1.1만명', '22만명']","[7.39, 8.29]","[11000.0, 220000.0]",7.84,115500.0
769,['스웨그'],['9.71'],"['3,214명']",[9.71],[3214.0],9.71,3214.0
770,['듀스 와일드'],['6.33'],['missing data'],[6.33],0,6.33,0.0
771,['쥬만지: 새로운 세계'],['8.44'],['171만명'],[8.44],[1710000.0],8.44,1710000.0
772,['보이 넥스트 도어'],['missing data'],['missing data'],0,0,0.0,0.0
773,['missing data'],['missing data'],['missing data'],0,0,0.0,0.0
774,['기생 : 꽃의 고백'],['7.97'],"['1,933명']",[7.97],[1933.0],7.97,1933.0
775,['루이스'],['missing data'],['missing data'],0,0,0.0,0.0
776,['스물'],['8.61'],['304만명'],[8.61],[3040000.0],8.61,3040000.0
777,['테르마이 로마이'],['6.01'],"['3,319명']",[6.01],[3319.0],6.01,3319.0
778,['여배우들의 티타임'],['8.07'],"['2,138명']",[8.07],[2138.0],8.07,2138.0
779,['프레스티지'],['missing data'],['missing data'],0,0,0.0,0.0
780,['인디스데이 10월 단편'],['missing data'],['missing data'],0,0,0.0,0.0
781,['박강아름의 가장무도회'],['missing data'],['missing data'],0,0,0.0,0.0
782,['극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아'],['애니메이션일본97분'],['2021.12.09.'],[0],0,0.0,0.0
783,['파이널크루 : 칸우 탈출작전'],['8.83'],['34명'],[8.83],[34.0],8.83,34.0
784,['케로로 더 무비 5: 기적의 사차원섬'],['missing data'],['missing data'],0,0,0.0,0.0
785,['불한당: 나쁜 놈들의 세상'],['8.15'],['96만명'],[8.15],[960000.0],8.15,960000.0
786,"['당신, 거기 있어줄래요']",['8.80'],['116만명'],[8.8],[1160000.0],8.8,1160000.0
787,['내 심장을 쏴라'],['8.00'],['38만명'],[8.0],[380000.0],8.0,380000.0
788,['극장판 헬로카봇: 옴파로스 섬의 비밀'],['8.76'],['57만명'],[8.76],[570000.0],8.76,570000.0
789,['협상'],['8.16'],['196만명'],[8.16],[1960000.0],8.16,1960000.0
790,['페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워'],['9.17'],['4.4만명'],[9.17],[44000.0],9.17,44000.0
791,['스파이 지니어스'],['9.46'],['45만명'],[9.46],[450000.0],9.46,450000.0
792,['녹턴'],['missing data'],['missing data'],0,0,0.0,0.0
793,['음양사'],['missing data'],['missing data'],0,0,0.0,0.0
794,['매직울프'],['6.78'],['2.9만명'],[6.78],[29000.0],6.78,29000.0
795,['콜럼버스'],['7.88'],"['8,506명']",[7.88],[8506.0],7.88,8506.0
796,['극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계'],['8.07'],['13만명'],[8.07],[130000.0],8.07,130000.0
797,['앤트맨'],['missing data'],['missing data'],0,0,0.0,0.0
798,['원스'],['9.16'],['27만명'],[9.16],[270000.0],9.16,270000.0
799,['추억의 검정고무신'],['5.70'],['2만명'],[5.7],[20000.0],5.7,20000.0
800,['스테거링 걸'],['missing data'],['missing data'],0,0,0.0,0.0
801,['호텔 뭄바이'],['9.10'],['7.4만명'],[9.1],[74000.0],9.1,74000.0
802,"['저수지 게임', '부산행:익스텐디드']","['9.69', 'missing data']","['12만명', 'missing data']",[9.69],[120000.0],9.69,120000.0
803,['노매드랜드'],['8.59'],['8.5만명'],[8.59],[85000.0],8.59,85000.0
804,['다키스트 아워'],['9.16'],['3.7만명'],[9.16],[37000.0],9.16,37000.0
805,['울프 콜'],['8.63'],['2.4만명'],[8.63],[24000.0],8.63,24000.0
806,['뱅드림! 필름 라이브 세컨드 스테이지'],['8.86'],['3.4만명'],[8.86],[34000.0],8.86,34000.0
807,['디 오드 라이프 오브 티모시 그린'],['missing data'],['missing data'],0,0,0.0,0.0
808,['하나안'],['7.64'],"['1,020명']",[7.64],[1020.0],7.64,1020.0
809,['안내견'],['missing data'],['missing data'],0,0,0.0,0.0
810,['웨스트 코스트'],['missing data'],['missing data'],0,0,0.0,0.0
811,['고스트 메신저 극장판'],['9.19'],['2.3만명'],[9.19],[23000.0],9.19,23000.0
812,['해피 투게더'],['8.52'],['missing data'],[8.52],0,8.52,0.0
813,['크레이지 리치 아시안'],['7.98'],['15만명'],[7.98],[150000.0],7.98,150000.0
814,['언더더씨'],['7.14'],['4.9만명'],[7.14],[49000.0],7.14,49000.0
815,['위대한 소원'],['8.19'],['30만명'],[8.19],[300000.0],8.19,300000.0
816,['쿵푸 보이'],['8.36'],"['9,263명']",[8.36],[9263.0],8.36,9263.0
817,['바람 바람 바람'],['6.64'],['119만명'],[6.64],[1190000.0],6.64,1190000.0
818,['미스터 주: 사라진 VIP'],['7.55'],['60만명'],[7.55],[600000.0],7.55,600000.0
819,['페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이'],['9.34'],['4.6만명'],[9.34],[46000.0],9.34,46000.0
820,['신비한 동물들과 그린델왈드의 범죄'],['7.45'],['241만명'],[7.45],[2410000.0],7.45,2410000.0
821,['한산: 용의 출현'],['8.54'],['726만명'],[8.54],[7260000.0],8.54,7260000.0
822,['앵커'],['7.08'],['17만명'],[7.08],[170000.0],7.08,170000.0
823,['반성'],['missing data'],['missing data'],0,0,0.0,0.0
824,['캔디맨'],['6.12'],['5.2만명'],[6.12],[52000.0],6.12,52000.0
